PoliceID,City,State,PhoneNo
ZOJI8TMTU9,Lowell,MA,193-662-1727
HTL25TB9T7,Fort Smith,AR,414-341-7149
LDB3DR9G79,Iowa City,IA,373-920-6424
3MS3O4L6O4,Madison,WI,596-817-8514
O832S3H7GD,Biloxi,MS,694-554-8992
NJZI3FUE2H,Springfield,MO,472-226-3819
V4VEJZVQYT,Olympia,WA,508-156-4182
EDQ51SJ5V0,Gaithersburg,MD,555-946-5061
BDMPJ6YPBT,Minneapolis,MN,987-965-8886
QX5877P1I7,Kansas City,MO,914-134-4965
Z61CQ6ZMCO,Grand Island,NE,671-612-7003
YG80KYUWMC,Virginia Beach,VA,949-787-6494
IOHCCYZWQ2,Detroit,MI,191-468-3784
H99IX9OE00,Waterbury,CT,950-931-6636
AC98U63H90,Tallahassee,FL,431-936-2962
AQA166NOHH,Jonesboro,AR,879-790-8376
BOBDG126N9,Omaha,NE,144-837-9393
QPDSKMPGXZ,Overland Park,KS,269-800-9894
40AK7O35H8,Grand Rapids,MI,307-112-1111
8JD89SDG89,Naperville,IL,828-105-8405
NWGZS8XCUH,Sterling Heights,MI,565-212-1981
60B52I6I66,Metairie,LA,909-451-2346
O9CTKKFO4Y,Bloomington,MN,654-950-8664
K60O8BSHJT,Norman,OK,670-473-6800
B8X9GNTB9W,Racine,WI,472-226-3819
I5175NK7W2,Colchester,HI,473-241-3136
84F8H6AM4B,Kaneohe,MD,714-274-3602
5HIYD1E14A,Laramie,WY,495-182-8401
UBIFLAR22W,Dallas,TX,694-554-8992
EVXL9RR9T8,Montpelier,VT,556-881-5727
VQDRT26NL1,Cleveland,OH,889-984-5500
9SCXOS0D4C,Shreveport,LA,956-721-4680
R75FO3IS7X,Toledo,VA,324-808-8595
XBB6BV94YN,Pike Creek,DE,446-661-1198
QF4G86SUS1,South Portland,ME,450-575-9572
8379NU0FIW,Phoenix,AZ,603-451-3399
CCEI948V2N,Baton Rouge,LA,373-920-6424
ZUWGGIFFO7,Aurora,CO,762-536-8976
5PE0KP79C3,Harrisburg,PA,679-607-9875
LHK990WXKO,Rock Springs,WY,293-738-5341
L0897CKBCN,Boston,MA,167-180-9935
I4D7BQW3Z1,Helena,MT,938-481-1749
GXHPY90RXM,Columbia,SC,311-168-3915
U7MTJVBX0E,Pittsburgh,PA,497-874-8067
X37WU2YBK3,Gulfport,MS,828-439-3346
FITV3ODR6A,Rochester,NY,193-662-1727
7NC8NROCZ2,Baltimore,MD,304-593-7423
K4907A8AL8,Bozeman,MT,761-883-4259
RL9CP90PT4,Jacksonville,,915-740-7026
CO0NXL95X1,Hilo,CT,578-458-0052
C94VN65H0F,Fayetteville,KS,565-212-1981
KV8JE11Z6D,Jonesboro,CT,861-868-2811
H405THIXGO,Memphis,NC,190-956-2939
PDEG6ZE2JN,Evansville,ID,545-317-5761
9464ZCQU02,Kenosha,NJ,918-622-7467
S3XM5LO6E3,Kansas City,NV,918-622-7467
1YOF5S4DZ3,Essex,MI,167-180-9935
SWKO54KF01,Kansas City,AK,190-956-2939
N4J0AJTF3W,Reno,IA,950-931-6636
EVVQCQSLS9,Reading,WY,657-902-9069
SC94BFNGTU,Rock Springs,OH,481-589-5400
X7XBTJOY63,Bridgeport,WV,556-881-5727
RJQMPFU263,Denver,MS,721-138-4208
57R196S47U,Jonesboro,MD,765-544-1067
QY58PDNFZK,Laramie,DE,857-401-3350
M7J51BVK6Q,Paradise,GA,924-635-0812
UB9I2ZT35W,West Valley City,KY,552-876-5240
G1SJOIXMQB,Rockville,MD,331-657-6614
RI7HM8O4GN,Olympia,DC,247-115-2105
YJQ4GOB6RU,Oklahoma City,NH,506-776-9244
EIEPDW45E1,Newark,LA,865-979-3248
B6SH8IC6B5,Jacksonville,GA,717-846-8265
9CEKE863JY,Davenport,KY,690-104-2963
5576BL9R1Q,Richmond,FL,654-950-8664
D532FKNVW8,Montgomery,WA,542-585-7826
CJ1OCFFI0C,Pocatello,OK,237-645-7913
1U9V9XZOP4,Laramie,AR,196-882-6080
IG0F8XY8O0,Henderson,AZ,697-820-8459
9TWC4OC1PY,Waterbury,MD,973-832-3638
1ULILB2JC4,Portland,IA,835-906-9382
P97186QPVV,Shreveport,VA,835-979-0349
7PLRQD8NRB,Lakewood,NH,346-902-9922
K1B7NJ0OB0,Louisville,MT,828-439-3346
DCWK379S1C,Fort Wayne,WV,575-682-5447
FISEFH9QWK,Akron,MA,516-382-5495
P6L4GDB375,Portland,KY,295-360-1386
IRPLHKIWEU,Oklahoma City,CT,473-241-3136
UD0E0LMHVR,Milwaukee,WI,529-415-8016
6GP6PJE67V,Mesa,SC,657-902-9069
10SA42IX6Q,Broken Arrow,NH,552-876-5240
RUOC1XWCD8,Kansas City,MN,973-832-3638
GKRY7RS65X,Biloxi,DC,349-930-6709
P26OGEU28O,Columbus,OK,270-875-4752
OMW260HEXO,San Francisco,IN,945-378-2997
WDSN3JO779,Columbus,PA,336-503-5662
X8PN979AAR,Omaha,WV,825-919-8967
MD1IDRSZ63,Springfield,RI,526-502-9687
6S8R58RFFB,Memphis,PA,705-281-9666
ZUT2CNWUJF,South Bend,WA,335-262-3061
2QVILUAX6G,Kapolei,KY,654-565-5290
LYPA6Z9J9F,Springfield,CA,122-113-5549
34LKRPSB8A,Lakewood,OK,484-233-1627
K4Q1GU7956,Boston,DE,296-935-9120
381NPE30CV,Essex,IL,601-704-3662
JM0SKKUFYZ,Lewiston,VT,388-605-7381
40A3ZYU418,Jackson,KY,140-913-5953
AB2F72GVY9,Montgomery,ME,592-312-4753
SKYY7T5KXK,Columbus,IN,619-310-4485
250NBS5SE5,Casper,TN,940-374-4606
5S0PQICAE0,North Las Vegas,CO,761-883-4259
R9BY05WQUE,Montgomery,TN,495-182-8401
G5GIGX0292,Nampa,TN,865-979-3248
LYDTD2IM9V,Nampa,SD,945-378-2997
G91BZCHHO9,Colchester,AL,690-104-2963
UE9PC3WOKF,Pike Creek,WA,904-837-9323
FBWC4Y438G,Montgomery,IL,915-740-7026
F63VF11JPZ,Evansville,WV,240-230-5359
B4M2GI9WS0,Colorado Springs,RI,293-738-5341
G0HU7WWC53,Glendale,KS,721-138-4208
E54ZUKUZDO,Butte,DE,918-622-7467
62N5SZIT9U,Rochester,VT,140-983-5486
54N1WTDGGM,Sandy,KS,953-284-5424
KR10NXQ0BA,Rutland,MA,738-835-7140
K2PWCXE0QU,Metairie,NE,189-585-4489
D686FWU8KZ,Tuscaloosa,SC,893-154-2621
IPHTBM6MZO,Mesa,ME,388-605-7381
CE2KT2I85B,Toledo,LA,927-517-5541
YJXUSRI9CH,Southaven,MO,113-276-6884
0ZIL80ZUF6,Saint Louis,VT,167-444-9082
J0R20CSKNC,Chattanooga,WY,324-680-9905
LYWWTI25RN,Waterbury,MT,995-146-8717
XB9BL54K84,Burlington,MD,929-553-5416
HUOZ3YCBJJ,Wichita,AZ,962-524-4812
W0MGTVMSR2,Provo,FL,349-930-6709
3L3H50GUUC,Saint Louis,SC,122-113-5549
A8JRIE1JLU,Knoxville,MO,335-262-3061
5SJ25S0TCS,Norman,AK,529-415-8016
76ZWWHRM5D,Jackson,VA,190-956-2939
AQA3J1W4NC,Portland,MN,913-745-8444
L034PEBZO2,Kenosha,HI,481-589-5400
U76F9DGPB0,Gillette,WY,589-640-0407
XYY6QKRM16,Hilo,OR,988-332-8126
6FBZ24K5WC,Missoula,WY,526-502-9687
F0L7YZ0NHH,Tallahassee,TX,338-716-3152
860L1D07IR,Hartford,MN,311-168-3915
5ROA8GFSDW,Minneapolis,NJ,945-378-2997
NP2BYMG1B4,Austin,MA,218-660-5649
M0UQYFIQS7,Rochester,MO,144-837-9393
A7JOZF5V76,Pike Creek,AZ,918-622-7467
UXXYXE9MA8,Athens,TX,196-882-6080
VSG7908MID,Helena,AR,835-906-9382
74U13YP9M4,Tampa,VA,338-538-9709
EG1YPVMQ3Q,Missoula,MS,282-785-9116
G8STP5H1TM,Denver,NY,835-979-0349
J88J8XTS1E,Tulsa,RI,497-874-8067
A502ASMC8R,New Orleans,MO,914-134-4965
6ABYNKANC0,Baton Rouge,VT,237-645-7913
U23II4X00G,Fort Wayne,KS,785-838-1082
SFXEW7IQBS,Madison,SD,889-984-5500
9E86PETM5G,Baltimore,VA,862-760-2452
07H3K7EVNL,Louisville,ME,163-897-0810
IPU8MD2ATS,Flint,NC,338-716-3152
634NLR66HT,Naperville,RI,839-778-8474
3SZ9ZE26A2,Rockville,ME,601-704-3662
URD7U3MS1N,Cambridge,DE,282-785-9116
ZUZJXC91S9,San Jose,CO,219-489-5263
9JS8LOK3HU,Eugene,TX,674-239-1631
EYYPXRBJSF,Gary,WI,489-759-9705
PUJ9223KZ6,Covington,NM,140-913-5953
H41WQG6XET,Atlanta,CO,101-653-2690
MFO0UXN1ZR,Bangor,TN,516-382-5495
4B1432B6K2,West Jordan,IN,956-721-4680
HH2FZZX3U0,Stamford,MN,439-495-7452
KBI1K31T51,Stamford,MD,798-185-6859
9GGQC3UTUF,Jackson,CT,122-113-5549
WH58W2T42Q,Stamford,IA,949-787-6494
GRG7VCYZ2S,Duluth,IL,785-838-1082
TE0XF16GQS,San Jose,ND,508-156-4182
YXB81QVQJI,St. Petersburg,IN,839-778-8474
OFUOZ35G9Y,Metairie,WV,865-979-3248
3S373Z0TZV,Huntsville,VT,414-341-7149
PX6RD48VKO,Cleveland,IL,237-645-7913
TKW0R9J538,Montpelier,NJ,679-607-9875
7L3JDNFZS0,Cedar Rapids,MD,320-852-8447
29GQIK96UL,Fort Smith,SC,940-374-4606
181X5TO5QR,Columbus,WV,385-765-9842
GUM8G62V5W,Springfield,NY,914-134-4965
C1BOU6BQCN,Auburn,UT,654-763-2694
